saliency,type,tobii,observed_stat,new_stat,mean,std,group_size,condition
k20-thresh0.05-pixcut10-KSSlide133v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide11Group1,0.0791080098051153,0.0785444908775863,0.0759025543808516,0.0157232236327732,19,KS
k20-thresh0.05-pixcut10-NSSlide7v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide12Group1,0.0929640761688929,0.0441789276192357,0.0582458322238727,0.01918512188616,21,NS
k20-thresh0.05-pixcut10-22q11DSSlide150v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide14Group1,0.1334898234566513,0.1777481603844421,0.1610926344494847,0.0185481127887717,21,22q11DS
k20-thresh0.05-pixcut10-PWSSlide44v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide15Group1,0.0681875222049471,0.1799482617199823,0.1560266702332328,0.0168078339986502,16,PWS
k20-thresh0.05-pixcut10-BWSSlide17v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide17Group1,0.0849128747252535,0.0898098073768001,0.0831238549057663,0.0193616125049727,8,BWS
k20-thresh0.05-pixcut10-WSSlide316v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide2Group1,0.0954580147105292,0.2138134851138353,0.1849858391750097,0.0221136640770905,17,WS
k20-thresh0.05-pixcut10-RSTS1Slide57v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide4Group1,0.1049865167512226,0.2284758138119866,0.1944007749515909,0.0192295784898226,21,RSTS1
k20-thresh0.05-pixcut10-WHSSlide13v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide6Group1,0.0874309258361609,0.2394933514510336,0.2030711619536282,0.0383979653307691,20,WHS
k20-thresh0.05-pixcut10-CdLSSlide124v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide8Group1,0.0771223069055396,0.075640807289449,0.0699312092329768,0.0110484510402597,22,CdLS
k20-thresh0.05-pixcut10-DownSlide60v2_heatmappositiveAverage.png,k0-thresh0.0-cutbfscale10.0-avepix0.3-smoothave-pixcutave70.0-round0.3EfnetOcc,Slide9Group1,0.0713281001860338,0.2424946903162849,0.2178359700491624,0.0313673848134711,22,Down
